section,metric,unit,period,value,method_source,source_sheet
REVENUE GROWTH BY CHAIN,TGDD / TopZone Growth,%,2029E,0.03000000000000025,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,TGDD / TopZone Growth,%,2030E,0.02499999999999991,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,DMX Growth,%,2025A,0.14957983193277302,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,DMX Growth,%,5M2026A,0.28598656140350864,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,DMX Growth,%,2026E,0.18310022269821835,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,DMX Growth,%,2027E,0.05894317048853459,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,DMX Growth,%,2028E,0.050000000000000044,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,DMX Growth,%,2029E,0.040000000000000036,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,DMX Growth,%,2030E,0.030000000000000027,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,BHX Growth,%,2025A,0.14111922141119226,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,BHX Growth,%,5M2026A,0.18282787206823015,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,BHX Growth,%,2026E,0.18336886993603407,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,BHX Growth,%,2027E,0.32459954233409616,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,BHX Growth,%,2028E,0.199650168437419,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,BHX Growth,%,2029E,0.1461465184849171,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,BHX Growth,%,2030E,0.11491253344309538,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,An Khang Growth,%,2025A,-0.04347826086956519,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,An Khang Growth,%,5M2026A,0.20999999999999996,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,An Khang Growth,%,2026E,0.30000000000000004,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,An Khang Growth,%,2027E,0.23259259259259246,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,An Khang Growth,%,2028E,0.15171875000000035,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,An Khang Growth,%,2029E,0.1117460317460317,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,An Khang Growth,%,2030E,0.08890522875816997,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,AVAKids Growth,%,2025A,0.16666666666666674,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,AVAKids Growth,%,5M2026A,0.19999999999999996,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,AVAKids Growth,%,2026E,0.19999999999999996,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,AVAKids Growth,%,2027E,0.1797752808988764,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,AVAKids Growth,%,2028E,0.14400000000000013,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,AVAKids Growth,%,2029E,0.13454545454545452,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,AVAKids Growth,%,2030E,0.11583333333333345,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,Other Growth,%,2027E,0.08000000000000007,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,Other Growth,%,2028E,0.06000000000000005,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,Other Growth,%,2029E,0.050000000000000044,,07_Revenue_Drivers
REVENUE GROWTH BY CHAIN,Other Growth,%,2030E,0.040000000000000036,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,TGDD / TopZone Stores,stores,2025A,1012.0,Linked history + latest update + assumptions,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,TGDD / TopZone Stores,stores,3M2026A,1014.0,Linked history + latest update + assumptions,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,TGDD / TopZone Stores,stores,5M2026A,1012.0,Linked history + latest update + assumptions,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,TGDD / TopZone Stores,stores,2026E,1012.0,Linked history + latest update + assumptions,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,TGDD / TopZone Stores,stores,2027E,1012.0,Linked history + latest update + assumptions,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,TGDD / TopZone Stores,stores,2028E,1012.0,Linked history + latest update + assumptions,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,TGDD / TopZone Stores,stores,2029E,1012.0,Linked history + latest update + assumptions,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,TGDD / TopZone Stores,stores,2030E,1012.0,Linked history + latest update + assumptions,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,DMX Stores,stores,2025A,2008.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,DMX Stores,stores,3M2026A,2006.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,DMX Stores,stores,5M2026A,2004.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,DMX Stores,stores,2026E,2004.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,DMX Stores,stores,2027E,2004.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,DMX Stores,stores,2028E,2004.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,DMX Stores,stores,2029E,2004.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,DMX Stores,stores,2030E,2004.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,BHX Stores,stores,2025A,2559.0,Linked history + latest update + new-store guidance,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,BHX Stores,stores,3M2026A,2839.0,Linked history + latest update + new-store guidance,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,BHX Stores,stores,5M2026A,3051.0,Linked history + latest update + new-store guidance,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,BHX Stores,stores,2026E,3559.0,Linked history + latest update + new-store guidance,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,BHX Stores,stores,2027E,4159.0,Linked history + latest update + new-store guidance,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,BHX Stores,stores,2028E,4659.0,Linked history + latest update + new-store guidance,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,BHX Stores,stores,2029E,5059.0,Linked history + latest update + new-store guidance,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,BHX Stores,stores,2030E,5359.0,Linked history + latest update + new-store guidance,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,An Khang Stores,stores,2025A,382.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,An Khang Stores,stores,3M2026A,409.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,An Khang Stores,stores,5M2026A,416.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,An Khang Stores,stores,2026E,482.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,An Khang Stores,stores,2027E,542.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,An Khang Stores,stores,2028E,592.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,An Khang Stores,stores,2029E,632.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,An Khang Stores,stores,2030E,662.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,AVAKids Stores,stores,2025A,83.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,AVAKids Stores,stores,3M2026A,95.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,AVAKids Stores,stores,5M2026A,95.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,AVAKids Stores,stores,2026E,95.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,AVAKids Stores,stores,2027E,105.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,AVAKids Stores,stores,2028E,115.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,AVAKids Stores,stores,2029E,125.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,AVAKids Stores,stores,2030E,135.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,EraBlue Stores (supplemental),stores,2025A,181.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,EraBlue Stores (supplemental),stores,3M2026A,212.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,EraBlue Stores (supplemental),stores,5M2026A,245.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,EraBlue Stores (supplemental),stores,2026E,300.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,EraBlue Stores (supplemental),stores,2027E,420.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,EraBlue Stores (supplemental),stores,2028E,550.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,EraBlue Stores (supplemental),stores,2029E,700.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,EraBlue Stores (supplemental),stores,2030E,850.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,Total Stores - Modeled Chains,stores,2025A,6225.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,Total Stores - Modeled Chains,stores,3M2026A,6575.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,Total Stores - Modeled Chains,stores,5M2026A,6823.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,Total Stores - Modeled Chains,stores,2026E,7452.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,Total Stores - Modeled Chains,stores,2027E,8242.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,Total Stores - Modeled Chains,stores,2028E,8932.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,Total Stores - Modeled Chains,stores,2029E,9532.0,,07_Revenue_Drivers
ENDING STORE COUNT BY CHAIN,Total Stores - Modeled Chains,stores,2030E,10022.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,TGDD / TopZone Average Stores,stores,2025A,1016.4999999999999,,07_Revenue_Drivers
AVERAGE STORE COUNT,TGDD / TopZone Average Stores,stores,3M2026A,1013.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,TGDD / TopZone Average Stores,stores,5M2026A,1012.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,TGDD / TopZone Average Stores,stores,2026E,1012.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,TGDD / TopZone Average Stores,stores,2027E,1012.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,TGDD / TopZone Average Stores,stores,2028E,1012.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,TGDD / TopZone Average Stores,stores,2029E,1012.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,TGDD / TopZone Average Stores,stores,2030E,1012.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,DMX Average Stores,stores,2025A,2017.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,DMX Average Stores,stores,3M2026A,2007.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,DMX Average Stores,stores,5M2026A,2006.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,DMX Average Stores,stores,2026E,2006.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,DMX Average Stores,stores,2027E,2004.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,DMX Average Stores,stores,2028E,2004.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,DMX Average Stores,stores,2029E,2004.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,DMX Average Stores,stores,2030E,2004.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,BHX Average Stores,stores,2025A,2164.5,,07_Revenue_Drivers
AVERAGE STORE COUNT,BHX Average Stores,stores,3M2026A,2699.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,BHX Average Stores,stores,5M2026A,2805.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,BHX Average Stores,stores,2026E,3059.0,,07_Revenue_Drivers
AVERAGE STORE COUNT,BHX Average Stores,stores,2027E,3859.0,,07_Revenue_Drivers
